season,posteam,franchise_id,total_epa_plays,total_epa,epa_per_play,dropbacks,total_pass_epa,epa_per_dropback,rushes,total_rush_epa,epa_per_rush,sacks,total_sack_epa,epa_per_sack,turnovers,total_turnover_epa,epa_per_turnover,total_plays_long,total_plays_medium,total_plays_short,total_epa_long,total_epa_medium,total_epa_short,epa_per_play_long,epa_per_play_medium,epa_per_play_short,success_rate_team,total_success_plays_team,success_rate_pass,total_success_plays_pass,success_rate_rush,total_success_plays_rush,first_down_success_rate,first_down_success_total,second_down_success_rate,second_down_success_total,third_down_success_rate,third_down_success_total,fourth_down_success_rate,fourth_down_success_total,third_down_converted_total,third_down_attempts,third_down_conversion_rate,redzone_trips,redzone_tds,redzone_td_rate,total_plays,total_pass_plays,total_rush_plays,explosive_plays,explosive_pass_plays,explosive_rush_plays,explosive_play_rate,explosive_pass_rate,explosive_rush_rate
2010,ARZ,1,958,-210.22997,-0.21944673,639,-156.71457,-0.24524972,318,-53.115063,-0.1670285,50,-76.192314,-1.5238463,30,-149.30923,-4.9769745,207,148,204,14.313765,-39.90048,-68.43603,0.06914862,-0.26959783,-0.33547074,0.3716075,356,0.3875,248,0.33962265,108,0.40487805,166,0.36507937,115,0.31455398,67,0.3888889,7,56,210,0.266666667,38,15,0.394736842,956,638,318,79,44,35,0.082635983,0.068965517,0.110062893
2010,ATL,2,1138,76.720856,0.06741727,617,111.61553,0.18090038,473,-31.183224,-0.06592648,23,-41.323006,-1.7966524,16,-59.688694,-3.7305434,190,151,234,71.59789,53.94476,3.1252747,0.37683102,0.35725006,0.013355874,0.43321615,493,0.48270676,321,0.36363637,172,0.39714867,195,0.42857143,162,0.48809522,123,0.78571427,11,110,249,0.441767068,58,35,0.603448276,1134,662,472,72,33,39,0.063492063,0.049848943,0.082627119
2010,BAL,3,1038,28.943462,0.027883874,574,76.27199,0.13287802,464,-47.32853,-0.10200114,40,-69.89864,-1.7474661,18,-74.43082,-4.1350455,167,129,194,92.2074,40.13626,-20.456562,0.5521401,0.3111338,-0.1054462,0.41811174,434,0.4477352,257,0.38146552,177,0.3736018,167,0.47632313,171,0.4117647,91,0.45454547,5,81,221,0.366515837,53,24,0.452830189,1037,573,464,76,40,36,0.073288332,0.069808028,0.077586207
2010,BUF,4,978,-104.88266,-0.10724198,600,-54.214832,-0.090358056,378,-50.66783,-0.13404188,34,-68.22023,-2.0064774,35,-154.39293,-4.4112267,171,140,207,50.310192,4.947889,-45.225456,0.29421166,0.035342064,-0.21848047,0.3997955,391,0.40666667,244,0.3888889,147,0.39518073,164,0.39130434,126,0.41588786,89,0.48,12,81,212,0.382075472,38,20,0.526315789,976,598,378,79,42,37,0.080942623,0.070234114,0.097883598
2010,CAR,5,986,-245.33417,-0.24881761,560,-149.3594,-0.26671323,417,-89.674515,-0.2150468,50,-83.40694,-1.6681387,35,-154.52472,-4.414992,128,119,235,13.339266,-0.0686962,-91.723976,0.104213014,-0.000577279,-0.3903148,0.3346856,330,0.34446397,196,0.32134292,134,0.32512316,132,0.33229813,107,0.34188035,80,0.45833334,11,69,233,0.296137339,33,10,0.303030303,986,569,417,80,30,50,0.081135903,0.052724077,0.119904077
2010,CHI,6,962,-93.1762,-0.09685676,582,-30.160515,-0.05182219,376,-62.361713,-0.16585562,56,-102.005844,-1.821533,31,-135.09494,-4.357901,140,162,163,40.971638,15.815727,-21.90466,0.29265454,0.097627945,-0.13438441,0.3908524,376,0.43686005,256,0.31914893,120,0.3901869,167,0.4117647,133,0.3631841,73,0.25,2,64,200,0.32,50,25,0.5,959,583,376,80,42,38,0.083420229,0.072041166,0.10106383
2010,CIN,7,1078,-45.062386,-0.04180184,655,34.65106,0.05290238,423,-79.71345,-0.18844786,28,-34.99843,-1.2499439,31,-141.0867,-4.5511837,178,179,227,26.489702,28.693651,1.5721059,0.14881855,0.16029973,0.006925576,0.44341373,478,0.48854962,320,0.37352246,158,0.43949044,207,0.44886363,158,0.4199134,97,0.7,14,87,230,0.37826087,56,27,0.482142857,1078,655,423,82,45,37,0.07606679,0.06870229,0.087470449
2010,CLE,8,944,-73.64966,-0.0780187,555,-24.533203,-0.04420397,389,-49.11645,-0.12626337,35,-47.526268,-1.3578933,28,-123.62095,-4.415034,150,123,203,28.20302,1.5202854,-29.115313,0.18802014,0.012360044,-0.14342518,0.40466103,382,0.43603605,242,0.35989717,140,0.4078624,166,0.38658148,121,0.41588786,89,0.75,6,76,212,0.358490566,42,20,0.476190476,940,551,389,71,42,29,0.075531915,0.076225045,0.074550129
2010,DAL,9,1064,-0.09498978,-8.93E-05,667,33.813816,0.050695375,397,-33.908806,-0.08541261,31,-48.492176,-1.5642637,27,-125.84238,-4.6608286,140,167,267,69.95112,6.192586,-5.85655,0.49965084,0.037081353,-0.021934645,0.43327066,461,0.4617691,308,0.38539043,153,0.4319149,203,0.41714287,146,0.4357798,95,0.65217394,15,86,217,0.396313364,49,29,0.591836735,1063,666,397,97,57,40,0.091251176,0.085585586,0.100755668
2010,DEN,10,1051,-18.620739,-0.017717164,673,58.90555,0.08752682,378,-77.52628,-0.20509599,40,-56.91149,-1.4227873,23,-103.63791,-4.505996,218,143,215,100.60833,20.485704,-25.476894,0.4615061,0.14325668,-0.118497185,0.3929591,413,0.43536404,293,0.31746033,120,0.39787233,187,0.41547278,145,0.35545024,75,0.3,6,65,209,0.311004785,50,28,0.56,1050,672,378,103,63,40,0.098095238,0.09375,0.105820106
2010,DET,11,1098,-48.163372,-0.043864638,707,10.68664,0.015115473,389,-56.491245,-0.14522171,27,-41.59777,-1.5406581,24,-108.02188,-4.5009117,173,160,295,26.254997,31.084288,-12.139273,0.15176299,0.1942768,-0.04115008,0.40528232,445,0.43300423,307,0.3547558,138,0.37931034,176,0.4065934,148,0.43373495,108,0.6875,11,97,247,0.392712551,46,30,0.652173913,1097,708,389,86,45,41,0.078395624,0.063559322,0.105398458
2010,GB,12,1020,77.216034,0.075702,649,120.69983,0.18597816,371,-43.483795,-0.117207,38,-56.82405,-1.4953698,20,-74.11646,-3.7058232,185,148,206,85.69509,35.876873,25.532755,0.46321672,0.2424113,0.123945415,0.45882353,468,0.5161787,335,0.35849056,133,0.45033112,204,0.46802327,161,0.46666667,98,0.3846154,5,85,210,0.404761905,53,32,0.603773585,1019,649,370,84,58,26,0.082433759,0.089368259,0.07027027
2010,HOU,13,1055,113.81184,0.10787852,641,97.42021,0.1519816,414,16.391619,0.039593283,32,-58.788364,-1.8371364,18,-71.181305,-3.954517,156,186,226,90.21879,36.281406,10.703101,0.57832557,0.19506133,0.047358856,0.4758294,502,0.4851794,311,0.46135265,191,0.47443762,232,0.48973608,167,0.44878048,92,0.5263158,10,79,204,0.387254902,54,33,0.611111111,1053,639,414,113,59,54,0.107312441,0.092331768,0.130434783
2010,IND,14,1106,104.83272,0.09478546,719,130.71146,0.18179618,386,-25.878735,-0.06704336,16,-18.751707,-1.1719817,24,-106.6244,-4.442683,212,199,268,42.791363,71.75204,18.049894,0.20184605,0.360563,0.06735035,0.47197106,522,0.51666665,372,0.38860103,150,0.43265307,212,0.5101523,201,0.48584905,103,0.6,6,90,209,0.43062201,54,38,0.703703704,1106,720,386,74,43,31,0.066907776,0.059722222,0.080310881
